"HostName","URI","Author","Date","LogonType","State","UserId","Actions","Triggers","LastRunTime","LastTaskResult","NextRunTime","NumberOfMissedRuns","Error"
"DC-SRV01","\Microsoft\Windows\Bluetooth\UninstallDeviceTask","Microsoft",,"Local Service/System or Network Service","Disabled","SYSTEM","{'Arguments':'$(Arg0)','Execute':'BthUdTask.exe'}","[]","11/30/1999 12:00:00 AM","267011",,"0",
"DC-SRV01","\Microsoft\Windows\BrokerInfrastructure\BgTaskRegistrationMaintenanceTask","Microsoft Corporation",,"Local Service/System or Network Service","Enabled","SYSTEM","{'ClassId':'{E984D939-0E00-4DD9-AC3A-7ACA04745521}'}","[]","11/15/2024 2:29:29 AM","268435456",,"0",
"DC-SRV01","\Microsoft\Windows\CertificateServicesClient\AikCertEnrollTask","Microsoft Corporation",,"Local Service/System or Network Service","Enabled","SYSTEM","{'ClassId':'{47E30D54-DAC1-473A-AFF7-2355BF78881F}','Data':'AIKCertEnroll'}","{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}}","11/30/1999 12:00:00 AM","267011",,"0",
"DC-SRV01","\Microsoft\Windows\CertificateServicesClient\CryptoPolicyTask","Microsoft Corporation",,"Local Service/System or Network Service","Enabled","SYSTEM","{'ClassId':'{47E30D54-DAC1-473A-AFF7-2355BF78881F}','Data':'CryptoPolicy'}","{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}}","11/30/1999 12:00:00 AM","267011",,"0",
"DC-SRV01","\Microsoft\Windows\CertificateServicesClient\KeyPreGenTask","Microsoft Corporation",,"Local Service/System or Network Service","Enabled","SYSTEM","{'ClassId':'{47E30D54-DAC1-473A-AFF7-2355BF78881F}','Data':'NGCKeyPregen'}","[{'Enabled':true,'Id':'ImmediateTrigger','Repetition':{'StopAtDurationEnd':false}},{'Enabled':true,'Id':'DelayedTrigger','Repetition':{'StopAtDurationEnd':false}},{'Enabled':true,'Id':'DeviceUnlockedTrigger','Repetition':{'StopAtDurationEnd':false}},{'Delay':'PT10M','Enabled':false,'Id':'UserSignOnTrigger','Repetition':{'StopAtDurationEnd':false}},{'Delay':'PT10M','Enabled':false,'Id':'LocalConsoleConnectTrigger','Repetition':{'StopAtDurationEnd':false},'StateChange':1}]","11/11/2024 2:23:23 AM","2148073520",,"0",
"DC-SRV01","\Microsoft\Windows\CertificateServicesClient\SystemTask","Microsoft Corporation",,"Local Service/System or Network Service","Enabled","SYSTEM","{'ClassId':'{58FB76B9-AC85-4E55-AC04-427593B1D060}','Data':'SYSTEM'}","[{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}},{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}},{'Delay':'PT10S','Enabled':true,'Repetition':{'Interval':'PT8H','StopAtDurationEnd':false}}]","11/15/2024 2:29:29 AM","0",,"0",
"DC-SRV01","\Microsoft\Windows\CertificateServicesClient\UserTask","Microsoft Corporation",,"Group","Enabled",,"{'ClassId':'{58FB76B9-AC85-4E55-AC04-427593B1D060}','Data':'USER'}","[{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}},{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}},{'Enabled':true,'Repetition':{'Interval':'PT8H','StopAtDurationEnd':false}},{'Delay':'PT25M','Enabled':true,'ExecutionTimeLimit':'PT30M','Repetition':{'Duration':'PT4H','Interval':'PT1H','StopAtDurationEnd':false},'Subscription':'\u003cQueryList\u003e\u003cQuery Id=\'0\' Path=\'Microsoft-Windows-User Device Registration/Admin\'\u003e\u003cSelect Path=\'Microsoft-Windows-User Device Registration/Admin\'\u003e*[System[Provider[@Name=\u0027Microsoft-Windows-User Device Registration\u0027] and EventID=300]]\u003c/Select\u003e\u003c/Query\u003e\u003c/QueryList\u003e'}]","11/15/2024 2:29:29 AM","0",,"0",
"DC-SRV01","\Microsoft\Windows\CertificateServicesClient\UserTask-Roam","Microsoft Corporation",,"Group","Enabled",,"{'ClassId':'{58FB76B9-AC85-4E55-AC04-427593B1D060}','Data':'KEYROAMING'}","[{'Enabled':true,'Repetition':{'StopAtDurationEnd':false},'StateChange':7},{'Enabled':true,'Repetition':{'StopAtDurationEnd':false},'StateChange':8}]","11/15/2024 2:29:29 AM","0",,"0",
"DC-SRV01","\Microsoft\Windows\Chkdsk\ProactiveScan","Microsoft Corporation",,"Local Service/System or Network Service","Enabled","SYSTEM","{'ClassId':'{CF4270F5-2E43-4468-83B3-A8C45BB33EA1}'}","[]","11/15/2024 2:29:29 AM","0",,"0",
"DC-SRV01","\Microsoft\Windows\Chkdsk\SyspartRepair",,,"Local Service/System or Network Service","Enabled","SYSTEM","{'Arguments':'%windir% /sysrepair','Execute':'%windir%\\system32\\bcdboot.exe'}","{'Enabled':true,'Repetition':{'StopAtDurationEnd':false}}","11/30/1999 12:00:00 AM","267011",,"0",
